Forecast,yeardiff,qdiff,qnum,Year,Forecast Year,Forecast Quarter,Visitors,US Visitors,JP Visitors,Payroll Jobs,Employment,Unemployment Rate,Inflation,Real Personal Income,Other Visitors,Real GDP
05Q1,-1,-7,1,2006,2005,Q1,1.583,1.022,3.168,1.487,1.76,3.247,3.596,2.616,,
05Q1,-2,-11,1,2007,2005,Q1,1.625,1.052,2.795,1.261,1.025,3.463,3.469,2.283,,
04Q4,3,12,4,2001,2004,Q4,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,0.5,,
04Q4,2,8,4,2002,2004,Q4,1.4,2.8,-3,0.3,-1.8,4.2,1,3.8,,
04Q4,1,4,4,2003,2004,Q4,-0.7,2.9,-10.7,1.9,1.9,4.3,2.3,2.3,,
04Q4,0,0,4,2004,2004,Q4,7.9,7.8,12.9,2.2,2.9,3.3,3.5,2.5,,
04Q4,-1,-4,4,2005,2004,Q4,3.6,3,6.5,1.8,1.8,3.2,3.8,2.5,,
04Q3,3,11,3,2001,2004,Q3,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,0.8,,
04Q3,2,7,3,2002,2004,Q3,1.4,2.8,-3,0.3,-1.8,4.2,1,4.4,,
04Q3,1,3,3,2003,2004,Q3,-0.7,2.9,-10.7,1.9,1.9,4.3,2.3,2.6,,
04Q3,0,-1,3,2004,2004,Q3,7.7,6.6,13.9,2.1,3.1,3.3,3.4,2.3,,
04Q3,-1,-5,3,2005,2004,Q3,3.7,1.7,9.2,1.8,2,3.2,3.4,3.4,,
04Q2,3,10,2,2001,2004,Q2,-9.3,,,0.7,,,1.2,0.8,,
04Q2,2,6,2,2002,2004,Q2,1.4,,,0.3,,,1,4.4,,
04Q2,1,2,2,2003,2004,Q2,-0.6,,,1.9,,,2.3,2.5,,
04Q2,0,-2,2,2004,2004,Q2,6.3,,,1.9,,,3.2,2.8,,
04Q2,-1,-6,2,2005,2004,Q2,5.1,,,2,,,2.9,3.6,,
04Q1,3,9,1,2001,2004,Q1,-9.3,-4.5,-15.9,0.7,2.2,4.6,1.2,2.4,,
04Q1,2,5,1,2002,2004,Q1,1.4,2.8,-3,0.1,-1.7,4.2,1,3.9,,
04Q1,1,1,1,2003,2004,Q1,-0.7,2.9,-10.7,2.2,1.9,4.3,2.3,3.1,,
04Q1,0,-3,1,2004,2004,Q1,8.2,3.6,24.5,2.1,1.8,4.2,2.8,2.7,,
04Q1,-1,-7,1,2005,2004,Q1,4,2.2,8.9,1.7,1.6,4.1,2.7,3.8,,
03Q4,3,12,4,2000,2003,Q4,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q4,2,8,4,2001,2003,Q4,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q4,1,4,4,2002,2003,Q4,0.9,2.2,-4.3,0.2,-1.2,4.2,1,3.8,,
03Q4,0,0,4,2003,2003,Q4,-0.3,3.9,-13.5,2.3,4,3.8,1.7,3.4,,
03Q4,-1,-4,4,2004,2003,Q4,8.7,4,24,2,2.6,3.7,2.5,3.2,,
03Q3,3,11,3,2000,2003,Q3,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q3,2,7,3,2001,2003,Q3,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q3,1,3,3,2002,2003,Q3,0.9,2.2,-4.3,0.2,-1.2,4.2,1,2.8,,
03Q3,0,-1,3,2003,2003,Q3,2,4.4,-18.6,2.3,3.2,3.8,1.6,3.6,,
03Q3,-1,-5,3,2004,2003,Q3,8.4,4.4,25.6,2,2.4,4,2.5,3.4,,
03Q2,3,10,2,2000,2003,Q2,3.1,6,-0.4,3.1,1.2,4.3,1.8,3.5,,
03Q2,2,6,2,2001,2003,Q2,-9.3,-4.5,-15.9,0.7,-0.3,4.6,1.2,2.3,,
03Q2,1,2,2,2002,2003,Q2,0.9,2.2,-4.3,0.2,-1.2,4.2,1,2.8,,
03Q2,0,-2,2,2003,2003,Q2,-1.3,1.6,-8.6,2.3,3.4,3.5,1.6,3.2,,
03Q2,-1,-6,2,2004,2003,Q2,9.8,4.8,25.5,2.2,2.3,3.6,2,2.5,,
02Q4,2,8,4,2000,2002,Q4,3.1,6,-0.4,3.1,,4.3,1.8,3.5,,
02Q4,1,4,4,2001,2002,Q4,-9.3,-4.5,-15.9,0.4,,4.6,1.2,2.3,,
02Q4,0,0,4,2002,2002,Q4,1.2,3.5,-4.4,-0.7,,4.3,1.6,2.4,,
02Q4,-1,-4,4,2003,2002,Q4,4.6,3,10.2,0.7,,4.3,2,2.3,,
02Q3,2,7,3,2000,2002,Q3,3.5,6.9,1.7,3.1,,4.3,1.8,2.3,,
02Q3,1,3,3,2001,2002,Q3,-9.1,-4.1,-18.8,0.4,,4.6,1.2,2.3,,
02Q3,0,-1,3,2002,2002,Q3,3,4.3,0.2,-0.3,,4.5,1,2.3,,
02Q3,-1,-5,3,2003,2002,Q3,6.4,3.5,12,1.9,,4.3,2.1,2.1,,
01Q4,2,8,4,1999,2001,Q4,2.2,,,0.7,,5.6,1,0.8,,
01Q4,1,4,4,2000,2001,Q4,3.5,,,3.1,,4.3,1.8,2.3,,
01Q4,0,0,4,2001,2001,Q4,-7.8,,,0.7,,4.6,1.5,1.5,,
01Q4,-1,-4,4,2002,2001,Q4,2,,,-0.9,,5.5,0.9,0.8,,
01Q4,-2,-8,4,2003,2001,Q4,7.4,,,1.8,,5.4,1.5,3.5,,
01Q2,2,6,2,1999,2001,Q2,2.2,,,0.7,0.4,,1,2.5,,
01Q2,1,2,2,2000,2001,Q2,3.5,,,3.1,1.8,,1.8,4.7,,
01Q2,0,-2,2,2001,2001,Q2,1.8,,,2.6,1.8,,2.4,2.5,,
01Q2,-1,-6,2,2002,2001,Q2,2.7,,,2.6,1.6,,2.8,3.1,,
00Q3,1,3,3,1999,2000,Q3,1.6,,,0.5,0.7,,1.1,2.4,,
00Q3,0,-1,3,2000,2000,Q3,4.9,,,2,2.7,,2.2,3.3,,
00Q3,-1,-5,3,2001,2000,Q3,4,,,2.2,2.1,,2.8,3,,
00Q2,2,6,2,1998,2000,Q2,-2,,,-0.1,0.2,,-0.3,2.7,,
00Q2,1,2,2,1999,2000,Q2,1.6,,,0.5,0.7,,1,2.2,,
00Q2,0,-2,2,2000,2000,Q2,4,,,1.1,1.4,,1.8,2.6,,
