State,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2
MD,N/A,N/A,N/A,N/A,-0.06,0.00,-0.05,0.00,0.06,-0.01,0.04,-0.04,-0.05,-0.04,-0.05,-0.04,-0.06,0.06,0.07,0.02,0.12,0.01,0.05,0.09,0.00,0.02,-0.07,0.00,0.07,0.03,0.14,0.09,0.05,0.00,0.04,-0.08,-0.15,0.05,-0.04,0.08,0.01,-0.05,-0.09,-0.10,0.07,-0.03,0.01,0.02,-0.01,-0.02,0.01,0.04,0.03,0.16,0.12,-0.02,-0.02,-0.03,0.01,0.09,0.13,0.09,0.23,0.18,-0.06,-0.13,-0.18,-0.03,0.16,0.19,0.16,0.05,0.10,0.14,0.03,0.12,0.08,0.11,0.11,-0.02,-0.03,-0.08,-0.02,0.00,0.08,0.13
NC,N/A,N/A,N/A,N/A,-0.09,-0.09,0.05,0.06,-0.02,-0.04,-0.02,-0.06,-0.06,-0.09,-0.16,-0.03,-0.09,0.05,0.12,0.02,0.15,0.07,0.03,0.05,0.03,-0.02,0.00,0.00,-0.03,0.04,0.08,0.03,0.05,-0.01,-0.01,-0.04,-0.04,0.01,-0.03,0.04,0.01,0.00,-0.05,-0.04,-0.01,-0.01,0.03,0.00,-0.01,-0.01,0.03,0.06,0.08,0.13,0.08,0.05,-0.05,-0.02,0.02,0.01,0.11,0.06,0.14,0.12,-0.10,-0.08,-0.10,-0.05,0.06,0.04,0.00,0.03,0.19,0.22,0.18,0.20,0.09,0.10,0.08,-0.09,-0.11,-0.13,-0.09,0.03,0.13,0.15
SC,N/A,N/A,N/A,N/A,-0.01,-0.13,0.03,0.06,0.12,0.22,-0.01,0.00,-0.97,-1.00,-0.95,-0.16,28.29,N/A,18.80,0.31,0.20,0.30,0.11,-0.01,-0.16,-0.19,0.02,-0.03,0.16,-0.03,-0.14,0.07,-0.07,0.05,0.17,-0.03,-0.08,-0.02,-0.10,-0.07,0.01,0.00,0.04,0.05,0.00,0.02,0.04,-0.03,-0.02,-0.01,-0.02,0.06,0.11,0.11,0.14,0.07,0.04,0.05,0.01,0.08,0.07,0.11,0.20,-0.04,-0.06,-0.18,-0.16,0.05,0.09,0.12,0.07,0.09,0.06,0.12,0.08,0.27,0.14,0.21,0.19,-0.16,0.05,-0.02,-0.02,0.05,0.06,0.09
VA,N/A,N/A,N/A,N/A,-0.03,0.01,0.00,0.00,0.05,0.02,0.00,-0.02,-0.09,-0.10,-0.08,-0.06,-0.05,0.07,0.05,-0.01,0.00,-0.07,-0.02,0.06,0.15,0.06,-0.01,0.06,0.04,0.09,0.11,0.08,0.02,0.04,0.03,-0.04,-0.05,0.00,0.04,-0.01,0.05,-0.03,-0.05,0.04,-0.01,0.00,0.02,-0.09,0.00,0.02,0.01,0.05,0.01,0.07,0.07,0.07,0.12,0.14,0.13,0.10,0.02,0.03,0.14,0.08,-0.13,-0.19,-0.19,-0.02,0.12,0.19,0.09,0.05,0.14,0.20,0.12,0.14,0.03,0.06,0.01,-0.11,-0.02,-0.07,0.08,0.09,0.12,0.14
WV,N/A,N/A,N/A,N/A,-0.03,-0.14,0.18,-0.04,-0.04,0.22,-0.12,0.00,-0.02,-0.28,-0.07,0.05,-0.23,0.06,-0.02,-0.06,0.21,0.22,0.14,-0.09,0.16,-0.05,-0.18,0.36,-0.08,-0.09,0.21,-0.13,-0.06,0.04,-0.17,-0.13,-0.18,-0.01,0.03,0.01,-0.09,-0.02,-0.01,0.01,0.28,-0.01,0.02,0.04,0.03,-0.03,0.00,0.07,-0.04,0.09,0.02,0.00,0.03,0.13,0.16,0.08,0.37,0.11,0.06,0.12,-0.16,-0.17,-0.01,-0.02,-0.11,0.22,-0.02,-0.06,0.20,0.09,0.19,0.25,0.17,0.19,0.16,0.06,0.07,0.00,-0.03,0.03,0.02,0.03
ND,N/A,N/A,N/A,N/A,-0.01,0.03,0.10,-0.01,0.17,0.15,0.06,0.08,-0.19,-0.18,-0.20,-0.12,-0.04,0.01,0.16,0.04,0.14,0.22,0.02,-0.01,0.00,-0.01,-0.02,0.08,-0.05,-0.07,0.20,0.13,0.14,0.07,-0.07,0.02,0.11,0.06,0.02,0.00,-0.08,-0.05,0.10,0.05,0.11,-0.02,-0.13,-0.03,0.01,0.04,0.17,0.12,0.00,0.15,-0.04,-0.06,0.06,-0.03,0.21,-0.10,-0.03,0.02,0.11,0.20,-0.02,-0.02,-0.21,-0.12,0.06,-0.07,-0.05,-0.02,-0.17,-0.06,0.04,0.09,0.27,0.39,0.23,0.36,0.17,0.01,0.16,-0.04,0.06,0.09
SD,N/A,N/A,N/A,N/A,0.14,0.13,0.19,-0.02,0.05,0.12,-0.11,0.10,-0.14,-0.20,-0.20,-0.05,-0.02,-0.01,0.17,0.13,0.25,0.18,0.15,-0.12,-0.06,0.03,-0.19,0.13,0.00,0.00,0.18,0.00,0.06,-0.04,-0.01,-0.02,0.05,0.03,-0.11,0.00,-0.12,-0.04,0.10,0.13,0.05,-0.09,0.05,-0.16,0.02,0.09,-0.03,0.05,0.02,0.05,0.18,0.29,0.10,0.05,0.12,-0.07,-0.03,0.26,0.02,0.14,0.04,-0.19,-0.25,-0.20,-0.02,0.00,0.14,0.17,0.02,0.08,0.04,-0.01,0.10,0.12,0.16,0.18,0.15,0.05,0.08,0.11,0.09,0.20
NE,N/A,N/A,N/A,N/A,-0.03,0.09,-0.06,-0.06,-0.01,-0.06,-0.01,0.02,-0.04,-0.10,-0.06,-0.07,-0.04,0.08,-0.01,0.06,0.08,-0.02,0.15,0.00,0.03,0.15,0.03,0.07,-0.02,-0.01,0.02,0.09,0.09,0.01,0.03,-0.06,-0.16,-0.09,-0.12,-0.09,0.05,-0.01,-0.03,0.01,0.02,0.02,0.05,0.10,0.05,0.01,0.05,0.01,0.04,0.10,0.09,0.04,-0.01,-0.02,0.06,0.02,0.05,0.04,0.13,0.08,-0.12,-0.18,-0.19,-0.05,0.17,0.17,0.12,-0.03,0.05,0.24,0.04,0.17,0.13,0.07,0.14,0.04,-0.01,0.00,0.11,0.07,0.09,0.13
KS,N/A,N/A,N/A,N/A,-0.04,0.09,-0.03,-0.05,-0.07,0.00,-0.04,0.01,0.10,-0.03,-0.07,0.03,-0.20,-0.09,-0.02,0.06,0.31,0.25,0.17,-0.04,0.06,0.03,0.04,0.07,-0.06,0.06,0.06,-0.02,0.11,-0.09,-0.06,-0.04,-0.11,-0.06,-0.13,-0.02,0.09,0.01,0.01,0.01,-0.05,-0.02,0.07,0.03,0.04,0.01,0.04,0.03,0.09,0.20,0.04,0.06,0.01,-0.03,0.08,0.09,0.14,0.08,0.20,0.15,0.02,-0.12,-0.21,-0.07,-0.09,-0.02,0.04,-0.14,0.04,0.25,0.12,0.34,0.13,0.06,0.12,-0.11,0.06,0.03,0.12,0.20,0.03,0.23
MN,N/A,N/A,N/A,N/A,0.14,0.12,0.09,0.04,-0.24,0.03,-0.02,-0.04,0.32,-0.05,-0.04,-0.04,-0.01,-0.02,0.08,0.03,0.04,0.12,0.01,-0.02,0.02,0.02,0.01,0.03,0.03,0.02,0.01,0.09,0.01,-0.04,0.04,-0.01,0.08,0.09,0.01,0.05,0.04,0.02,0.00,0.06,0.00,-0.09,0.01,-0.04,0.07,0.05,-0.02,-0.08,-0.04,0.08,0.05,0.11,0.03,-0.01,0.03,0.01,0.02,-0.02,0.10,0.03,0.03,-0.05,-0.14,-0.05,-0.11,0.00,0.03,0.16,0.19,0.36,0.16,0.08,0.05,0.01,0.15,0.00,0.09,0.00,0.00,0.04,0.03,0.04
IA,N/A,N/A,N/A,N/A,0.01,0.06,-0.06,0.07,0.08,0.05,0.06,-0.11,-0.11,-0.09,-0.10,0.02,-0.06,-0.03,0.10,-0.11,0.14,0.15,0.04,0.11,0.01,0.12,-0.02,0.12,0.04,-0.03,0.10,0.02,-0.05,-0.06,-0.02,-0.09,0.00,0.04,0.00,0.09,0.02,-0.04,-0.06,-0.04,-0.02,0.03,0.03,0.00,0.03,0.01,0.04,0.03,0.06,0.07,0.09,0.04,0.00,0.04,0.09,0.03,0.06,-0.06,0.04,0.12,-0.07,-0.03,-0.13,-0.13,0.05,0.00,0.00,-0.01,0.06,0.23,0.13,0.21,0.18,0.17,0.10,0.09,-0.03,-0.07,0.00,0.01,0.08,0.16
MO,N/A,N/A,N/A,N/A,0.05,0.03,-0.06,-0.07,-0.06,-0.06,-0.14,-0.02,0.06,-0.02,-1.00,-0.51,-0.07,-0.41,N/A,0.79,0.12,0.97,0.35,0.22,0.11,0.07,0.01,0.07,0.01,-0.01,0.01,0.03,0.03,0.04,0.06,-0.04,-0.09,-0.04,-0.06,-0.08,0.03,-0.02,-0.02,0.06,0.02,-0.01,0.02,-0.01,0.01,0.02,0.04,0.10,0.05,0.10,0.06,-0.01,0.03,0.02,0.03,0.07,0.04,0.03,0.13,0.09,-0.15,-0.12,-0.14,-0.06,0.22,0.09,0.01,-0.02,0.03,0.15,0.12,0.13,0.11,0.10,0.11,0.02,-0.02,-0.03,0.01,0.05,0.09,0.12
AR,N/A,N/A,N/A,N/A,0.33,0.06,0.03,0.19,-0.07,-0.06,-0.14,-0.24,-0.15,0.05,0.03,0.02,0.09,0.02,0.15,-0.12,0.02,0.00,-0.02,0.13,0.04,0.08,0.02,0.12,0.03,-0.02,0.04,-0.13,-0.01,0.05,-0.02,-0.02,0.02,0.00,0.05,0.10,0.07,-0.08,-0.11,-0.02,-0.05,0.04,0.05,0.00,0.02,-0.01,0.04,0.08,0.11,0.19,0.11,0.10,0.04,-0.03,0.06,0.01,0.11,0.08,0.09,0.08,-0.18,-0.12,-0.12,-0.10,0.08,0.03,0.07,0.06,0.12,0.19,0.15,0.25,0.15,0.19,0.06,-0.04,0.01,-0.01,0.02,0.10,0.09,0.14
LA,N/A,N/A,N/A,N/A,-0.13,-0.04,0.06,0.01,0.08,0.11,-0.14,-0.01,-0.06,-0.21,0.04,-0.14,-0.07,0.20,0.02,0.12,0.08,0.06,0.10,0.05,0.09,0.01,0.03,0.12,0.01,0.06,0.04,-0.03,-0.02,-0.04,0.06,-0.01,-0.04,-0.08,-0.10,-0.06,0.03,0.03,-0.04,0.00,-0.08,0.05,0.04,-0.04,0.03,-0.04,0.06,0.11,0.12,0.18,0.11,0.11,0.02,0.03,0.06,0.03,0.08,0.06,0.18,0.07,-0.07,-0.08,-0.15,-0.01,0.01,0.13,0.04,0.03,0.08,0.15,0.04,0.22,0.20,0.12,0.26,-0.12,-0.01,-0.06,0.02,0.11,0.10,0.09
OK,N/A,N/A,N/A,N/A,-0.02,-0.02,-0.03,-0.06,0.00,0.04,0.00,0.01,-0.06,-0.05,-0.05,-0.06,-0.01,0.03,-0.03,0.04,0.01,0.01,0.14,0.05,0.12,0.08,0.00,0.06,-0.02,-0.04,0.02,-0.09,0.00,-0.02,0.04,-0.01,-0.11,-0.10,-0.12,0.01,0.08,0.09,0.00,0.06,0.01,0.01,0.04,0.00,-0.01,0.01,0.05,0.04,0.09,0.14,0.09,0.08,0.03,0.02,0.04,0.04,0.02,0.05,0.18,0.08,-0.09,-0.16,-0.17,-0.02,0.14,0.23,0.05,-0.07,0.07,0.10,0.05,0.19,0.17,0.11,0.21,0.10,0.03,0.04,0.12,0.08,0.07,0.13
TX,N/A,N/A,N/A,N/A,0.02,0.00,0.10,0.00,0.09,0.02,-0.03,0.01,-0.12,-0.05,-0.07,-0.04,0.01,0.07,-0.06,-0.14,-0.01,0.00,0.19,0.19,0.14,0.00,0.00,0.08,-0.05,0.05,0.10,-0.03,0.04,-0.02,0.02,0.01,-0.13,-0.10,-0.15,-0.11,0.07,0.05,0.05,0.07,0.05,0.07,0.07,0.04,-0.03,0.02,0.05,0.04,0.09,0.09,0.05,0.04,-0.05,-0.03,0.01,0.00,0.09,0.09,0.14,0.13,-0.10,-0.17,-0.22,-0.13,0.08,0.13,0.17,0.09,0.22,0.13,0.07,0.17,-0.01,0.15,0.17,-0.03,0.02,0.01,0.08,0.12,0.10,0.12
